Title,Studio,TotalGross,TotalTheaters,OpeningGross,OpeningTheaters,OpeningDate,Director,MainActor,Rating,Genre
8 Mile,Uni.,116750901,2585,51240555,2470,11-08-02,Curtis Hanson,Eminem,7,Drama
8MM,Sony,36663315,2370,14252888,2370,2/26/1999,Joel Schumacher,Nicolas Cage,6.2,Thriller
A Bad Moms Christmas,STX,72110659,3615,16759161,3615,11-01-17,Jon Lucas,Mila Kunis,6.3,Comedy
A Beautiful Mind,Uni.,170742341,2250,367151,11,12/21/2001,Ron Howard,Russell Crowe,7.8,Drama
A Cinderella Story,WB,51438175,2625,13623350,2625,7/16/2004,Mark Rosman,Hilary Duff,6.3,Comedy
A Good Day to Die Hard,Fox,67349198,3555,24834845,3553,2/14/2013,John Moore,Bruce Willis,5.2,Action
A Haunted House,ORF,40041683,2160,18101682,2160,01-11-13,Michael Tiddes,Marlon Wayans,5.5,Comedy
A History of Violence,NL,31504633,1348,515992,14,9/23/2005,David Cronenberg,Viggo Mortensen,7.1,Drama
A Man Apart,NL,26736098,2495,11019224,2459,04-04-03,F. Gary Gray,Vin Diesel,5.9,Action
A Million Ways to Die in the West,Uni.,43139300,3160,16797385,3158,5/30/2014,Seth MacFarlane,Seth MacFarlane,5.8,Comedy
A Quiet Place,Par.,188024361,3808,50203562,3508,04-06-18,John Krasinski,Emily Blunt,7.3,Drama
A Simple Favor,LGF,53548586,3102,16011689,3102,9/14/2018,Paul Feig,Anna Kendrick,6.6,Thriller
A Walk Among the Tombstones,Uni.,26307600,2714,12758780,2712,9/19/2014,Scott Frank,Liam Neeson,6.3,Crime
A Walk in the Woods,BG,29504281,2158,8246267,1960,09-02-15,Ken Kwapis,Robert Redford,5.9,Adventure
A Walk to Remember,WB,41281092,2420,12177488,2411,1/25/2002,Adam Shankman,Mandy Moore,7.6,Drama
A Wrinkle in Time,BV,100478608,3980,33123609,3980,03-09-18,Ava DuVernay,Storm Reid,5.8,Drama
A.I. Artificial Intelligence,WB,78616689,3242,29352630,3242,6/29/2001,Steven Spielberg,Haley Joel Osment,7,Drama
About a Boy,Uni.,41385278,1756,8557630,1207,5/17/2002,Chris Weitz,Hugh Grant,6.7,Drama
About Schmidt,NL,65016287,1240,282367,6,12/13/2002,Alexander Payne,Jack Nicholson,6.8,Drama
Abraham Lincoln: Vampire Hunter,Fox,37519139,3109,16306974,3108,6/22/2012,Timur Bekmambetov,Benjamin Walker,5.6,Action
Accepted,Uni.,36323505,2917,10023835,2914,8/18/2006,Steve Pink,Justin Long,6.3,Comedy
Across the Universe,SonR,24343673,964,667784,23,9/14/2007,Julie Taymor,Evan Rachel Wood,7.2,Drama
Act of Valor,Rela.,70012847,3053,24476632,3039,2/24/2012,Mike McCoy,Alex Veadov,6.3,Action
Adrift,STX,31445012,3015,11603039,3015,06-01-18,Baltasar Kormákur,Shailene Woodley,5,Drama
After Earth,Sony,60522097,3401,27520040,3401,5/31/2013,M. Night Shyamalan,Jaden Smith,5.1,Science Fiction
After the Sunset,NL,28331233,2819,11100392,2819,11-12-04,Brett Ratner,Pierce Brosnan,6.2,Action
Agent Cody Banks,MGM,47938330,3369,14064317,3369,3/14/2003,Harald Zwart,Frankie Muniz,5.2,Action
Agent Cody Banks 2: Destination London,MGM,23630159,2973,8014005,2973,03-12-04,Kevin Allen,Frankie Muniz,5.1,Comedy
Alexander,WB,34297191,2445,13687087,2445,11/24/2004,Oliver Stone,Colin Farrell,5.8,War
Ali,Sony,58203105,2521,14710892,2446,12/25/2001,Michael Mann,Will Smith,6.7,Drama
Alice Through the Looking Glass,BV,77041381,3763,26858726,3763,5/27/2016,James Bobin,Mia Wasikowska,5.4,Family
Alien: Covenant,Fox,74262031,3772,36160621,3761,5/19/2017,Ridley Scott,Michael Fassbender,5.9,Horror
All About Steve,Fox,33862903,2265,11241214,2251,09-04-09,Phil Traill,Sandra Bullock,4.8,Comedy
All About the Benjamins,NL,25916319,1519,10007291,1505,03-08-02,Kevin Bray,Ice Cube,6,Action
All Eyez on Me,LG/S,44922302,2471,26435354,2471,6/16/2017,Benny Boom,Demetrius Shipp Jr.,6.4,Drama
All the Money in the World,TriS,25113707,2123,5584684,2074,12/25/2017,Ridley Scott,Michelle Williams,6.4,Thriller
Allied,Par.,40098064,3160,12701743,3160,11/23/2016,Robert Zemeckis,Brad Pitt,6.7,Action
Almost Christmas,Uni.,42158780,2379,15134235,2376,11-11-16,David E. Talbert,Kimberly Elise,5.5,Comedy
Almost Famous,DW,32534850,2262,2314646,131,9/15/2000,Cameron Crowe,Billy Crudup,7.5,Drama
Aloha,Sony,21067116,2815,9670235,2815,5/29/2015,Cameron Crowe,Bradley Cooper,5.3,Drama
Along Came a Spider,Par.,74078174,2573,16712407,2530,04-06-01,Lee Tamahori,Morgan Freeman,6.3,Crime
Along Came Polly,Uni.,88097164,3052,27721185,2984,1/16/2004,John Hamburg,Ben Stiller,5.9,Comedy
Alpha,Studio 8,35857181,2881,10352512,2719,8/17/2018,Albert Hughes,Kodi Smit-McPhee,6.7,Action
Alvin and the Chipmunks,Fox,217326974,3499,44307417,3475,12/14/2007,Tim Hill,Justin Long,5.6,Comedy
Alvin and the Chipmunks: Chipwrecked,Fox,133110742,3734,23244744,3723,12/16/2011,Mike Mitchell,Justin Long,5.5,Comedy
Alvin and the Chipmunks: The Road Chip,Fox,85886987,3705,14287159,3653,12/18/2015,Walt Becker,Jason Lee,5.8,Adventure
Alvin and the Chipmunks: The Squeakquel,Fox,219614612,3747,48875415,3700,12/23/2009,Betty Thomas,Justin Long,5.5,Comedy
American Assassin,LGF,36249674,3154,14846778,3154,9/15/2017,Michael Cuesta,Dylan OBrien,6.3,Action
American Beauty,DW,130096601,1990,861531,16,9/15/1999,Sam Mendes,Kevin Spacey,8,Drama
American Gangster,Uni.,130164645,3110,43565135,3054,11-02-07,Ridley Scott,Denzel Washington,7.5,Drama
American Hustle,Sony,150117807,2629,740455,6,12/13/2013,David O. Russell,Christian Bale,6.8,Drama
American Made,Uni.,51342000,3098,16776390,3024,9/29/2017,Doug Liman,Tom Cruise,6.7,Thriller
American Pie,Uni.,102561004,2544,18709680,2508,07-09-99,Paul Weitz,Jason Biggs,6.4,Comedy
American Pie 2,Uni.,145103595,3157,45117985,3063,08-10-01,J.B. Rogers,Jason Biggs,6.1,Comedy
American Reunion,Uni.,57011521,3203,21514080,3192,04-06-12,Jon Hurwitz,Jason Biggs,6.1,Comedy
American Sniper,WB,350126372,3885,633456,4,12/25/2014,Clint Eastwood,Bradley Cooper,7.4,War
American Wedding,Uni.,104565114,3175,33369440,3172,08-01-03,Jesse Dylan,Jason Biggs,6.1,Comedy
An Ideal Husband,Mira.,18542974,772,192802,10,6/18/1999,Oliver Parker,Rupert Everett,6.4,Drama
Anacondas: The Hunt for the Blood Orchid,SGem,32238923,2905,12812287,2905,8/27/2004,Dwight H. Little,Morris Chestnut,5.1,Adventure
Analyze That,WB,32130627,2635,11034422,2635,12-06-02,Harold Ramis,Robert De Niro,5.7,Comedy
Analyze This,WB,106885658,2537,18383507,2518,03-05-99,Harold Ramis,Robert De Niro,6.4,Comedy
Anchorman 2: The Legend Continues,Par.,125168368,3507,26232425,3507,12/18/2013,Adam McKay,Will Ferrell,6.1,Comedy
Anchorman: The Legend of Ron Burgundy,DW,85288303,3104,28416365,3091,07-09-04,Adam McKay,Will Ferrell,6.8,Comedy
Angel Eyes,WB,24174218,2407,9225575,2375,5/18/2001,Luis Mandoki,Jennifer Lopez,5.7,Drama
Angels & Demons,Sony,133375846,3527,46204168,3527,5/15/2009, Ron Howard," 
Tom Hanks",6.6,Thriller
Anger Management,SonR,135645823,3656,42220847,3551,04-11-03,Peter Segal,Jack Nicholson,6,Comedy
Anna and the King,Fox,39263420,2132,5223416,2132,12/17/1999,Andy Tennant,Jodie Foster,6.7,Drama
Annabelle,WB (NL),84273813,3215,37134255,3185,10-03-14,John R. Leonetti,Ward Horton,5.6,Horror
Annabelle: Creation,WB (NL),102092201,3565,35006404,3502,08-11-17,David F. Sandberg,Anthony LaPaglia,6.5,Horror
Annihilation,Par.,32732301,2112,11071584,2012,2/23/2018,Alex Garland,Natalie Portman,6.3,Science Fiction
Ant-Man,BV,180202163,3868,57225526,3856,7/17/2015,Peyton Reed,Paul Rudd,7.1,Science Fiction
Ant-Man and the Wasp,BV,216648740,4206,75812205,4206,07-06-18,Peyton Reed,Paul Rudd,7,Action
Any Given Sunday,WB,75530832,2505,13584625,2505,12/22/1999,Oliver Stone,Al Pacino,6.8,Drama
Anywhere But Here,Fox,18670401,1686,5607137,1672,11-12-99,Wayne Wang,Susan Sarandon,6.2,Drama
Apocalypto,BV,50866635,2465,15005604,2465,12-08-06,Mel Gibson,Gerardo Taracena,7.4,Action
Aquaman,WB,335061807,4184,67873522,4125,12/21/2018,James Wan,Jason Momoa,5.9,Action
Are We Done Yet?,SonR,49662533,2944,14262724,2877,04-04-07, Steve Carr,Ice Cube,5.2,Comedy
Are We There Yet?,SonR,82674398,2810,18575214,2709,1/21/2005,Brian Levant,Ice Cube,5.3,Adventure
Argo,WB,136025503,3247,19458109,3232,10-12-12,Ben Affleck,Ben Affleck,6.8,Action
Arlington Road,Sony,24756177,1631,7515145,1631,07-09-99,Mark Pellington,Jeff Bridges,7.1,Crime
Around the World in 80 Days,BV,24008137,2801,7576132,2801,6/16/2004,Frank Coraci,Jackie Chan,5.8,Action
Arrival,Par.,100546139,3115,24074047,2317,11-11-16,Denis Villeneuve,Amy Adams,7.4,Drama
Arthur Christmas,Sony,46462469,3376,12068931,3376,11/23/2011,Sarah Smith,James McAvoy,6.7,Drama
At First Sight,MGM,22365133,1838,8444321,1814,1/15/1999,Irwin Winkler,Val Kilmer,5.9,Drama
Atlantis: The Lost Empire,BV,84056472,3071,329011,2,06-08-01,Gary Trousdale,Michael J. Fox,6.8,Animation
Atomic Blonde,Focus,51687870,3326,18286420,3304,7/28/2017,David Leitch,Charlize Theron,6.3,Action
Atonement,Focus,50927067,1400,784145,32,12-07-07,Joe Wright,James McAvoy,7.6,Drama
August Rush,WB,31664162,2310,9421369,2310,11/21/2007,Kirsten Sheridan,Freddie Highmore,7.3,Family
August: Osage County,Wein.,37738810,2411,179302,5,12/27/2013,John Wells,Meryl Streep,6.9,Comedy
Austin Powers in Goldmember,NL,213307889,3613,73071188,3613,7/26/2002,Jay Roach,Mike Myers,5.9,Comedy
Austin Powers: The Spy Who Shagged Me,NL,206040086,3314,54917604,3312,06-11-99,Jay Roach,Mike Myers,6.2,Adventure
Australia,Fox,49554002,2721,14800723,2642,11/26/2008, Baz Luhrmann," 
Nicole Kidman",6.5,Adventure
Autumn in New York,MGM,37761915,2282,10987006,2255,08-11-00,Joan Chen,Richard Gere,5.9,Drama
Avatar,Fox,749766139,3461,77025481,3452,12/18/2009, James Cameron,Sam Worthington,7.4,Action
Avengers: Age of Ultron,BV,459005868,4276,191271109,4276,05-01-15,Joss Whedon,Robert Downey Jr.,7.3,Action
Avengers: Infinity War,BV,678815482,4474,257698183,4474,4/27/2018,Anthony Russo,Robert Downey Jr.,8.3,Adventure
Babel,ParV,34302837,1251,389351,7,10/27/2006,Alejandro G. Iñárritu,Brad Pitt,7.1,Drama
Baby Boy,Sony,28734552,1533,8606403,1533,6/27/2001,John Singleton,AlexSandra Wright,7.1,Crime
Baby Driver,TriS,107825862,3226,20553320,3226,6/28/2017,Edgar Wright,Ansel Elgort,7.4,Action
Baby Geniuses,Sony,27250736,1702,5613587,1689,03-12-99,Bob Clark,Kathleen Turner,3.7,Science Fiction
Baby Mama,Uni.,60494212,2627,17407110,2543,4/25/2008, Michael McCullers, Tina Fey,5.8,Comedy
Bad Boys II,Sony,138608444,3202,46522560,3186,7/18/2003,Michael Bay,Will Smith,6.4,Adventure
Bad Company,BV,30160161,2944,11007367,2944,06-07-02,Joel Schumacher,Anthony Hopkins,5,Drama
Bad Moms,STX,113257297,3215,23817340,3215,7/29/2016,Jon Lucas,Mila Kunis,6.5,Comedy
Bad News Bears,Par.,32868349,3183,11382472,3183,7/22/2005,Richard Linklater,Billy Bob Thornton,5.7,Comedy
Bad Santa,Dim.,60060328,2540,12292952,2005,11/26/2003,Terry Zwigoff,Billy Bob Thornton,6.5,Drama
Bad Teacher,Sony,100292856,3049,31603106,3049,6/24/2011,Jake Kasdan,Cameron Diaz,5.5,Comedy
Balls of Fury,Rog.,32886940,3081,11352123,3052,8/29/2007, Ben Garant,Dan Fogler,5,Comedy
Bandits,MGM,41575141,3207,13050700,3207,10-12-01,Barry Levinson,Bruce Willis,6.2,Action
Barbershop,MGM,75782105,2176,20627433,1605,9/13/2002,Tim Story,Ice Cube,6.1,Comedy
Barbershop: The Next Cut,WB (NL),54030051,2676,20242415,2661,4/15/2016,Malcolm D. Lee,Ice Cube,6,Comedy
Basic,Sony,26793311,2876,11511960,2876,3/28/2003,John McTiernan,John Travolta,6.4,Action
Batman Begins,WB,205343774,3858,48745440,3858,6/15/2005,Christopher Nolan,Christian Bale,7.6,Action
Batman v Superman: Dawn of Justice,WB,330360194,4256,166007347,4242,3/25/2016,Zack Snyder,Ben Affleck,5.8,Action
Battle: Los Angeles,Sony,83552429,3417,35573187,3417,03-11-11,Jonathan Liebesman,Aaron Eckhart,5.6,Action
Battlefield Earth,WB,21471685,3307,11548898,3307,05-12-00,Roger Christian,John Travolta,3,Action
Battleship,Uni.,65422625,3702,25534825,3690,5/18/2012,Peter Berg,Alexander Skarsgård,5.6,Thriller
Baywatch,Par.,58060186,3647,18503871,3647,5/25/2017,Seth Gordon,Dwayne Johnson,6.1,Action
Be Cool,MGM,56046979,3216,23450212,3216,03-04-05,F. Gary Gray,John Travolta,5.5,Comedy
Beauty Shop,MGM,36351350,2659,12801465,2659,3/30/2005,Bille Woodruff,Queen Latifah,5.5,Comedy
Because I Said So,Uni.,42674040,2529,13122865,2526,02-02-07,Michael Lehmann," 
Diane Keaton",6,Comedy
Because of Winn-Dixie,Fox,32647042,3188,10208431,3188,2/18/2005,Wayne Wang,AnnaSophia Robb,6.3,Comedy
Bedtime Stories,BV,110101975,3684,27450296,3681,12/25/2008,Adam Shankman,Adam Sandler,6,Fantasy
Bee Movie,P/DW,126631277,3984,38021044,3928,11-02-07,Simon J. Smith,Jerry Seinfeld,5.9,Family
Behind Enemy Lines,Fox,58856790,2844,18736133,2770,11/30/2001,John Moore,Gene Hackman,6.1,Action
Being John Malkovich,USA,22863596,630,637721,25,10/29/1999,Spike Jonze,John Cusack,7.4,Comedy
Bend It Like Beckham,FoxS,32543449,1002,161528,6,03-12-03,Gurinder Chadha,Parminder Nagra,6.2,Comedy
Beowulf,Par.,82280579,3249,27515871,3153,11/16/2007,Robert Zemeckis,Ray Winstone,4.5,Action
Best in Show,WB,18715392,497,413436,13,9/29/2000,Christopher Guest,Fred Willard,7,Comedy
Beverly Hills Chihuahua,BV,94514402,3239,29300465,3215,10-03-08, Raja Gosnell, Jamie Lee Curtis,4.8,Adventure
Bewitched,Sony,63313159,3188,20131130,3174,6/24/2005,Nora Ephron,Nicole Kidman,4.9,Comedy
Bicentennial Man,BV,58223861,2767,8234926,2518,12/17/1999,Chris Columbus,Robin Williams,7.1,Comedy
Big Daddy,Sony,163479795,3254,41536370,3027,6/25/1999,Dennis Dugan,Adam Sandler,6.3,Comedy
Big Fat Liar,Uni.,48360547,2534,11554015,2531,02-08-02,Shawn Levy,Frankie Muniz,5.6,Comedy
Big Fish,Sony,66809693,2514,207377,6,12-10-03,Tim Burton,Ewan McGregor,7.7,Adventure
Big Hero 6,BV,222527828,3773,56215889,3761,11-07-14,Don Hall,Ryan Potter,7.8,Adventure
Billy Elliot,Focus,21995263,510,215681,10,10/13/2000,Stephen Daldry,Jamie Bell,7.6,Drama
Birdman,FoxS,42340598,1213,424397,4,10/17/2014,Alejandro G. Iñárritu,Michael Keaton,7.4,Drama
Black Hawk Down,SonR,108638745,3143,179823,4,12/28/2001,Ridley Scott,Josh Hartnett,7.3,Action
Black Knight,Fox,33426971,2571,11102948,2571,11/21/2001,Gil Junger,Martin Lawrence,5.2,Adventure
Black Mass,WB,62575678,3188,22635037,3188,9/18/2015,Scott Cooper,Johnny Depp,6.4,Drama
Black or White,Rela.,21571189,1823,6213362,1823,1/30/2015,Mike Binder,Kevin Costner,6.7,Drama
Black Panther,BV,700059566,4084,202003951,4020,2/16/2018,Ryan Coogler,Chadwick Boseman,7.4,Action
Black Swan,FoxS,106954678,2407,1443809,18,12-03-10,Darren Aronofsky,Natalie Portman,7.6,Drama
BlacKkKlansman,Focus,49275340,1914,10845330,1512,08-10-18,Spike Lee,John David Washington,7.6,Crime
Blade II,NL,82348319,2707,32528016,2707,3/22/2002,Guillermo del Toro,Wesley Snipes,6.3,Fantasy
Blade Runner 2049,WB,92054159,4058,32753122,4058,10-06-17,Denis Villeneuve,Harrison Ford,7.4,Science Fiction
Blade: Trinity,NL,52411906,2912,16061271,2912,12-08-04,David S. Goyer,Wesley Snipes,5.7,Science Fiction
Blades of Glory,P/DW,118594548,3467,33014202,3372,3/30/2007,Josh Gordon,Will Ferrell,6,Comedy
Blast from the Past,NL,26511114,2544,7771066,2542,02-12-99,Hugh Wilson,Brendan Fraser,6.4,Comedy
Blended,WB,46294610,3555,14284031,3555,5/23/2014,Frank Coraci,Adam Sandler,6.7,Comedy
Bless the Child,Par.,29381494,2524,9413684,2524,08-11-00,Chuck Russell,Kim Basinger,5,Drama
Blockers,Uni.,60311495,3418,20556350,3379,04-06-18,Kay Cannon,Leslie Mann,6.1,Comedy
Blood Diamond,WB,57377916,1920,8648324,1910,12-08-06,Edward Zwick,Leonardo DiCaprio,7.5,Drama
Blood Work,WB,26235081,2525,7312413,2525,08-09-02,Clint Eastwood,Clint Eastwood,6.2,Crime
Blow,NL,52990775,2249,12443461,2249,04-06-01,Ted Demme,Johnny Depp,7.4,Crime
Blue Crush,Uni.,40390647,3015,14169455,3002,8/16/2002,John Stockwell,Kate Bosworth,5.8,Adventure
Blue Jasmine,SPC,33405481,1283,612064,6,7/26/2013,Woody Allen,Cate Blanchett,7,Comedy
Blue Streak,Sony,68518533,2735,19208806,2735,9/17/1999,Les Mayfield,Martin Lawrence,6.2,Action
Body of Lies,WB,39394666,2714,12884416,2710,10-10-08, Ridley Scott," 
Leonardo DiCaprio",6.6,Action
Bohemian Rhapsody,Fox,216203791,4000,51061119,4000,11-02-18,Bryan Singer,Rami Malek,8.1,Drama
Bolt,BV,114053579,3654,26223128,3651,11/21/2008,Chris Williams, John Travolta,6.3,Animation
Boo! A Madea Halloween,LGF,73206343,2299,28501448,2260,10/21/2016,Tyler Perry,Tyler Perry,5.3,Comedy
Boogeyman,SGem,46752382,3052,19020655,3052,02-04-05,Stephen Kay,Barry Watson,4.8,Thriller
Book Club,Par.,68566296,3169,13582231,2781,5/18/2018,Bill Holderman,Diane Keaton,4,Comedy
Book of Shadows: Blair Witch 2,Art.,26437094,3320,13223887,3317,10/27/2000,Joe Berlinger,Jeffrey Donovan,4.2,Mystery
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Fox,128505958,2611,26455463,837,11-03-06,Larry Charles,Sacha Baron Cohen,6.6,Comedy
Bounce,Mira.,36805288,2028,11423716,1918,11/17/2000,Don Roos,Ben Affleck,5.7,Drama
Bowfinger,Uni.,66384775,2746,18062550,2706,8/13/1999,Frank Oz,Steve Martin,6,Comedy
Boyhood,IFC,25352281,775,387618,5,07-11-14,Richard Linklater,Ellar Coltrane,7.5,Drama
Boys and Girls,Dim.,21799652,1989,7008950,1983,6/16/2000,Robert Iscove,Freddie Prinze Jr.,5.5,Comedy
Brave,BV,237283207,4164,66323594,4164,6/22/2012,Mark Andrews,Kelly Macdonald,6.9,Animation
Breach,Uni.,33231264,1505,10504990,1489,2/16/2007,Billy Ray, Chris Cooper,6.6,Drama
Bride Wars,Fox,58715510,3228,21058173,3226,01-09-09, Gary Winick, Kate Hudson,6.1,Comedy
Bridesmaids,Uni.,169106725,2958,26247410,2918,5/13/2011,Paul Feig,Kristen Wiig,6.5,Comedy
Bridge of Spies,BV,72313754,2873,15371203,2811,10/16/2015,Steven Spielberg,Tom Hanks,7.2,Thriller
Bridge to Terabithia,BV,82272442,3210,22564612,3139,2/16/2007,Gábor Csupó,Josh Hutcherson,7.2,Adventure
Bridget Jones: The Edge of Reason,Uni.,40226215,2473,8684055,530,11-12-04,Beeban Kidron,Renée Zellweger,6.2,Comedy
Bring It On,Uni.,68379000,2466,17362105,2380,8/25/2000,Peyton Reed,Kirsten Dunst,5.9,Comedy
Bringing Down the House,BV,132716677,2910,31101026,2801,03-07-03,Adam Shankman,Steve Martin,5.3,Documentary
Bringing Out the Dead,Par.,16797191,1967,6193052,1936,10/22/1999,Martin Scorsese,Nicolas Cage,6.6,Drama
Brokeback Mountain,Focus,83043761,2089,547425,5,12-09-05,Ang Lee,Jake Gyllenhaal,7.8,Drama
Brooklyn,FoxS,38322743,962,187281,5,11-04-15,John Crowley,Saoirse Ronan,7.3,Drama
Brother Bear,BV,85336277,3030,291940,2,10/24/2003,Aaron Blaise,Joaquin Phoenix,7.1,Adventure
Brothers,LGF,28544157,2088,9527848,2088,12-04-09,Jim Sheridan,Tobey Maguire,7.5,TV Movie
Brown Sugar,FoxS,27363891,1378,10738882,1372,10-11-02,Rick Famuyiwa,Taye Diggs,6.8,Comedy
Bruce Almighty,Uni.,242829261,3549,67953330,3483,5/23/2003,Tom Shadyac,Jim Carrey,6.6,Fantasy
Bruno,Uni.,60054530,2759,30619130,2756,07-10-09,Larry Charles, Sacha Baron Cohen,7.8,Comedy
Bumblebee,Par.,127195589,3597,21654047,3550,12/21/2018,Travis Knight,Hailee Steinfeld,6.4,Action
Burlesque,SGem,39440655,3037,11947744,3037,11/24/2010,Steven Antin,Cher,7.1,Drama
Burn After Reading,Focus,60355347,2657,19128001,2651,09-12-08, Joel Coen," 
George Clooney",6.6,Comedy
Calendar Girls,BV,31041759,967,151393,24,12/19/2003,Nigel Cole,Blanchard Ryan,6.7,Drama
Capote,SPC,28750530,1239,324857,12,9/30/2005,Bennett Miller,Philip Seymour Hoffman,7,Crime
Captain America: Civil War,BV,408084349,4226,179139142,4226,05-06-16,Anthony Russo,Chris Evans,7.3,Adventure
Captain America: The First Avenger,Par.,176654505,3715,65058524,3715,7/22/2011,Joe Johnston,Chris Evans,6.8,Action
Captain America: The Winter Soldier,BV,259766572,3938,95023721,3938,04-04-14,Anthony Russo,Chris Evans,7.7,Action
Captain Phillips,Sony,107100855,3143,25718314,3020,10-11-13,Paul Greengrass,Tom Hanks,7.6,Action
Captain Underpants: The First Epic Movie,Fox,73921000,3529,23851539,3434,06-02-17,David Soren,Kevin Hart,6,Action
Cars,BV,244082982,3988,60119509,3985,06-09-06,John Lasseter,Owen Wilson,6.7,Animation
Cars 2,BV,191452396,4115,66135507,4115,6/24/2011,John Lasseter,Owen Wilson,5.9,Animation
Cars 3,BV,152901115,4256,53688680,4256,6/16/2017,Brian Fee,Owen Wilson,6.8,Horror
Casino Royale,Sony,167445960,3443,40833156,3434,11/17/2006,Martin Campbell,Daniel Craig,7.4,Adventure
Cast Away,Fox,233632142,3061,28883406,2774,12/22/2000,Robert Zemeckis,Tom Hanks,7.6,Adventure
Catch Me If You Can,DW,164615351,3225,30053627,3156,12/25/2002,Steven Spielberg,Leonardo DiCaprio,7.9,Drama
Cats & Dogs,WB,93385515,3040,21707617,3040,07-04-01,Lawrence Guterman,Alec Baldwin,5.2,Comedy
Cats & Dogs: The Revenge of Kitty Galore,WB,43585753,3705,12279363,3705,7/30/2010,Brad Peyton, James Marsden,4.9,Comedy
Catwoman,WB,40202379,3117,16728411,3117,7/23/2004,Pitof,Halle Berry,4.4,Action
